fight_id,event_id,f_1,f_2,winner,num_rounds,title_fight,weight_class,gender,result,result_details,finish_round,finish_time
7162,659,541,1426,1426.0,5,T,Bantamweight,M,KO/TKO,Punches to Head On Ground,2,0:51
7161,659,16,2057,16.0,5,T,Women's Strawweight,F,Decision,Unanimous,5,5:00
7160,659,1915,2865,2865.0,3,F,Welterweight,M,Decision,Unanimous,3,5:00
7159,659,3756,3829,3829.0,3,F,Bantamweight,M,Decision,Unanimous,3,5:00
7158,659,263,1571,263.0,3,F,Bantamweight,M,Decision,Unanimous,3,5:00
7157,659,164,438,438.0,3,F,Middleweight,M,Decision,Unanimous,3,5:00
7156,659,988,392,988.0,3,F,Middleweight,M,KO/TKO,Elbows to Head From Mount,1,1:43
7155,659,2526,2487,2526.0,3,F,Lightweight,M,Submission,Triangle Choke From Bottom Guard,2,2:39
7154,659,2273,2840,2273.0,3,F,Bantamweight,M,Decision,Unanimous,3,5:00
7153,659,1230,1741,1230.0,3,F,Middleweight,M,Decision,Split,3,5:00
7152,659,2068,681,681.0,3,F,Women's Flyweight,F,Decision,Unanimous,3,5:00
7151,659,678,1596,678.0,3,F,Women's Flyweight,F,Submission,Guillotine Choke From Bottom Guard,1,4:59
7150,658,1953,3185,1953.0,5,F,Welterweight,M,Decision,Unanimous,5,5:00
7149,658,484,3280,484.0,3,F,Featherweight,M,Decision,Unanimous,3,5:00
7148,658,935,3293,935.0,3,F,Light Heavyweight,M,KO/TKO,Punch to Head At Distance,1,2:40
7147,658,252,1958,1958.0,3,F,Women's Strawweight,F,Submission,Arm Triangle From Side Control,2,3:42
7146,658,3198,1507,3198.0,3,F,Middleweight,M,Decision,Unanimous,3,5:00
7145,658,2929,1207,2929.0,3,F,Middleweight,M,Decision,Unanimous,3,5:00
7144,658,3598,1772,1772.0,3,F,Bantamweight,M,KO/TKO,Punch to Head At Distance,1,2:19
7143,658,1760,3684,1760.0,3,F,Lightweight,M,KO/TKO,Punches to Head At Distance,1,1:25
7142,658,1850,3151,3151.0,3,F,Featherweight,M,KO/TKO,Elbows to Head From Mount,1,4:48
7141,658,1322,3634,3634.0,3,F,Heavyweight,M,Submission,Kimura From Side Control,1,4:11
7140,658,3988,915,3988.0,3,F,Women's Strawweight,F,KO/TKO,Punches to Head From Mount,3,3:41
7139,658,3756,2355,3756.0,3,F,Bantamweight,M,Submission,Twister From Back Control,1,3:47
7138,658,1687,822,822.0,3,F,Women's Flyweight,F,KO/TKO,Punches to Head At Distance,1,3:41
7137,657,857,2961,857.0,5,F,Catch Weight,M,Decision,Unanimous,5,5:00
7136,657,3976,505,505.0,3,F,Women's Strawweight,F,Submission,Guillotine Choke After Drop to Guard,2,1:31
7135,657,2413,1432,2413.0,3,F,Light Heavyweight,M,KO/TKO,Punch to Head At Distance,1,1:22
7134,657,1983,346,1983.0,3,F,Featherweight,M,Submission,Triangle Armbar From Bottom Guard,1,1:38
7133,657,3716,3569,3716.0,3,F,Light Heavyweight,M,Decision,Unanimous,3,5:00
7132,657,3884,2205,2205.0,3,F,Lightweight,M,Decision,Unanimous,3,5:00
7131,657,1213,3862,1213.0,3,F,Bantamweight,M,Decision,Unanimous,3,5:00
7130,657,161,2632,2632.0,3,F,Welterweight,M,Submission,Anaconda Choke On Ground,3,1:50
7129,657,1139,2420,1139.0,3,F,Featherweight,M,Decision,Unanimous,3,5:00
7128,657,3140,2680,3140.0,3,F,Flyweight,M,Decision,Unanimous,3,5:00
7127,657,98,3597,98.0,3,F,Featherweight,M,Decision,Unanimous,3,5:00
7126,657,1372,4024,4024.0,3,F,Flyweight,M,Submission,Rear Naked Choke,2,3:11
7125,656,1189,2902,2902.0,5,F,Lightweight,M,KO/TKO,Kick to Head At Distance,2,1:00
7124,656,3762,1256,1256.0,3,F,Light Heavyweight,M,Decision,Split,3,5:00
7123,656,2034,971,2034.0,3,F,Heavyweight,M,KO/TKO,Punches to Head On Ground,1,0:33
7122,656,3017,2728,2728.0,3,F,Lightweight,M,Submission,Arm Triangle From Half Guard,3,4:54
7121,656,3478,2534,2534.0,3,F,Welterweight,M,Submission,D'Arce Choke On Ground,1,2:39
7120,656,3729,2834,3729.0,3,F,Welterweight,M,Submission,Guillotine Choke After Drop to Guard,1,1:13
7119,656,258,876,258.0,3,F,Flyweight,M,Decision,Unanimous,3,5:00
7118,656,2181,1054,2181.0,3,F,Middleweight,M,KO/TKO,Kick to Head At Distance,2,0:33
7117,656,1810,2968,1810.0,3,F,Welterweight,M,Submission,Rear Naked Choke,2,2:37
7116,656,760,1747,1747.0,3,F,Welterweight,M,KO/TKO,Spinning Back Elbow to Head At Distance,3,2:36
7115,656,1804,3589,1804.0,3,F,Women's Flyweight,F,Submission,Armbar From Mount,3,2:11
7114,655,3918,330,3918.0,5,F,Heavyweight,M,KO/TKO,Punch to Head At Distance,1,1:13
7113,655,1790,529,529.0,3,F,Women's Flyweight,F,Submission,Armbar From Guard,1,1:55
7112,655,102,2991,102.0,3,F,Featherweight,M,Decision,Unanimous,3,5:00
7111,655,3362,1570,3362.0,3,F,Middleweight,M,KO/TKO,Elbows to Head From Mount,2,4:40
7110,655,2583,11,11.0,3,F,Lightweight,M,Decision,Unanimous,3,5:00
7109,655,1552,3340,1552.0,3,F,Featherweight,M,Decision,Unanimous,3,5:00
7108,655,2737,1869,1869.0,3,F,Bantamweight,M,Decision,Split,3,5:00
7107,655,1004,1307,1307.0,3,F,Welterweight,M,KO/TKO,Punches to Head At Distance,2,4:57
7106,655,3229,4005,4005.0,3,F,Lightweight,M,Submission,D'Arce Choke From Side Control,2,4:26
7105,655,1311,1191,1311.0,3,F,Heavyweight,M,Decision,Unanimous,3,5:00
7104,655,1564,3865,1564.0,3,F,Middleweight,M,Decision,Unanimous,3,5:00
7103,655,246,2237,246.0,3,F,Women's Bantamweight,F,Decision,Unanimous,3,5:00
7102,655,3147,3927,3147.0,3,F,Lightweight,M,Decision,Unanimous,3,5:00
7101,655,3870,3688,3688.0,3,F,Women's Strawweight,F,Decision,Unanimous,3,5:00
7100,655,2992,3861,2992.0,3,F,Flyweight,M,Submission,Arm Triangle From Mount,1,3:26
7099,654,2529,3629,3629.0,5,F,Women's Bantamweight,F,Submission,Guillotine Choke In Clinch,2,0:38
7098,654,3250,2677,3250.0,3,F,Welterweight,M,Decision,Split,3,5:00
7097,654,3898,1171,1171.0,3,F,Lightweight,M,KO/TKO,Punches to Head From Guard,1,4:05
7096,654,3142,1319,1319.0,3,F,Middleweight,M,Submission,Rear Naked Choke,2,4:45
7095,654,3148,3492,3148.0,3,F,Women's Featherweight,F,Decision,Unanimous,3,5:00
7094,654,904,1760,904.0,3,F,Lightweight,M,Submission,Rear Naked Choke,2,1:07
7093,654,1950,3886,3886.0,3,F,Featherweight,M,Decision,Unanimous,3,5:00
7092,654,3158,1438,3158.0,3,F,Women's Strawweight,F,KO/TKO,"to   On Ground
      Injury",1,0:34
7091,654,2007,3378,3378.0,3,F,Featherweight,M,Decision,Unanimous,3,5:00
7090,654,3107,305,3107.0,3,F,Lightweight,M,Decision,Unanimous,3,5:00
7089,654,1524,1892,1892.0,3,F,Flyweight,M,Decision,Split,3,5:00
7088,654,1568,3260,1568.0,3,F,Lightweight,M,Decision,Unanimous,3,5:00
7087,654,3049,1245,1245.0,3,F,Women's Bantamweight,F,Decision,Unanimous,3,5:00
7086,653,227,983,227.0,5,T,Featherweight,M,KO/TKO,Punches to Head On Ground,3,4:19
7085,653,1603,1329,1329.0,5,T,Flyweight,M,Decision,Split,5,5:00
7084,653,144,3163,3163.0,3,F,Middleweight,M,KO/TKO,Punches to Head At Distance,2,2:23
7083,653,332,2512,2512.0,3,F,Lightweight,M,Decision,Split,3,5:00
7082,653,1480,101,1480.0,3,F,Middleweight,M,KO/TKO,Punches to Head At Distance,1,0:38
7081,653,2097,1161,2097.0,3,F,Welterweight,M,KO/TKO,Punches to Head In Clinch,1,0:38
7080,653,467,3496,467.0,3,F,Catch Weight,M,Decision,Unanimous,3,5:00
7079,653,2398,2806,2806.0,3,F,Women's Strawweight,F,KO/TKO,Punches to Head On Ground,1,0:20
7078,653,3347,1721,1721.0,3,F,Light Heavyweight,M,Submission,Guillotine Choke In Clinch,2,1:55
7077,653,1231,1173,1231.0,3,F,Light Heavyweight,M,Submission,Arm Triangle From Half Guard,3,3:42
7076,653,909,1660,909.0,3,F,Bantamweight,M,KO/TKO,Punches to Head From Bottom Mount,1,3:10
7075,653,940,4080,4080.0,3,F,Flyweight,M,KO/TKO,Punch to Head At Distance,1,0:17
7074,653,2211,1052,1052.0,3,F,Lightweight,M,Decision,Unanimous,3,5:00
7073,652,512,1910,512.0,5,F,Middleweight,M,KO/TKO,Punches to Head On Ground,2,4:20
7072,652,2434,3279,3279.0,3,F,Lightweight,M,Decision,Unanimous,3,5:00
7071,652,2721,1611,1611.0,3,F,Welterweight,M,Decision,Unanimous,3,5:00
7070,652,2004,2859,2004.0,3,F,Women's Flyweight,F,Decision,Split,3,5:00
7069,652,3728,899,899.0,3,F,Lightweight,M,Submission,Rear Naked Choke,1,4:48
7068,652,3005,912,912.0,3,F,Middleweight,M,KO/TKO,Punches to Head On Ground,1,1:17
7067,652,2070,3034,3034.0,3,F,Welterweight,M,Submission,Guillotine Choke On Ground,1,0:55
7066,652,3671,117,3671.0,3,F,Featherweight,M,KO/TKO,Punches to Head On Ground,1,2:54
7065,652,828,948,948.0,3,F,Women's Featherweight,F,Decision,Split,3,5:00
7064,652,2145,3682,3682.0,3,F,Lightweight,M,KO/TKO,Punch to Head At Distance,3,3:17
7063,652,1228,3538,3538.0,3,F,Women's Flyweight,F,Decision,Unanimous,3,5:00
7062,652,962,2431,962.0,3,F,Heavyweight,M,Decision,Unanimous,3,5:00
7061,651,3087,380,380.0,5,F,Featherweight,M,Decision,Unanimous,5,5:00
7060,651,1057,3866,3866.0,3,F,Women's Flyweight,F,KO/TKO,Elbows to Head From Half Guard,2,3:42
7059,651,1381,823,1381.0,3,F,Featherweight,M,KO/TKO,Punch to Head At Distance,2,4:13
7058,651,4027,684,4027.0,3,F,Middleweight,M,Submission,Rear Naked Choke,1,4:39
7057,651,1915,931,1915.0,3,F,Welterweight,M,Decision,Split,3,5:00
7056,651,3654,334,3654.0,3,F,Welterweight,M,Decision,Unanimous,3,5:00
7055,651,1091,1126,1091.0,3,F,Lightweight,M,KO/TKO,Punch to Head At Distance,2,2:36
7054,651,1049,1001,1049.0,3,F,Women's Strawweight,F,Decision,Unanimous,3,5:00
7053,651,12,296,296.0,3,F,Flyweight,M,Decision,Split,3,5:00
7052,651,1279,1865,1865.0,3,F,Lightweight,M,Decision,Unanimous,3,5:00
7051,651,3088,2390,2390.0,3,F,Featherweight,M,Decision,Split,3,5:00
7050,651,3646,3149,3149.0,3,F,Middleweight,M,Decision,Unanimous,3,5:00
7049,650,255,3562,3562.0,5,F,Middleweight,M,Decision,Unanimous,5,5:00
7048,650,350,688,350.0,3,F,Lightweight,M,KO/TKO,Punches to Head From Mount,3,3:25
7047,650,1229,3146,1229.0,3,F,Middleweight,M,Decision,Unanimous,3,5:00
7046,650,906,4017,906.0,3,F,Featherweight,M,Submission,Arm Triangle From Mount,2,1:48
7045,650,370,1587,370.0,3,F,Lightweight,M,KO/TKO,Elbow to Head At Distance,1,1:50
7044,650,3315,883,3315.0,3,F,Welterweight,M,Decision,Unanimous,3,5:00
7043,650,2973,3379,3379.0,3,F,Flyweight,M,KO/TKO,Elbows to Head From Half Guard,2,1:03
7042,650,2286,1130,2286.0,3,F,Bantamweight,M,Submission,Rear Naked Choke,1,2:25
7041,650,2573,3732,2573.0,3,F,Flyweight,M,Decision,Unanimous,3,4:59
7040,650,3751,3013,3751.0,3,F,Women's Flyweight,F,Decision,Unanimous,3,5:00
7039,650,1294,3627,3627.0,3,F,Light Heavyweight,M,Decision,Unanimous,3,5:00
7038,649,1440,4053,1440.0,5,T,Women's Bantamweight,F,Decision,Unanimous,5,5:00
7037,649,1401,3296,1401.0,3,F,Lightweight,M,KO/TKO,Punches to Head On Ground,1,4:10
7036,649,1884,2920,1884.0,3,F,Welterweight,M,Submission,Guillotine Choke On Ground,2,1:06
7035,649,2464,2121,2464.0,3,F,Featherweight,M,Decision,Unanimous,3,5:00
7034,649,3846,3985,3846.0,3,F,Middleweight,M,Decision,Unanimous,3,5:00
7033,649,1804,2400,2400.0,3,F,Women's Flyweight,F,Decision,Unanimous,3,5:00
7031,649,1495,3773,1495.0,3,F,Featherweight,M,Decision,Unanimous,3,5:00
7030,649,3135,3076,3076.0,3,F,Flyweight,M,Decision,Unanimous,3,5:00
7029,649,3815,1397,3815.0,3,F,Women's Strawweight,F,Decision,Unanimous,3,5:00
7028,648,2283,4065,4065.0,5,F,Flyweight,M,Decision,Split,5,5:00
7027,648,3591,1198,3591.0,3,F,Featherweight,M,Decision,Unanimous,3,5:00
7026,648,1693,3599,1693.0,3,F,Lightweight,M,KO/TKO,Punch to Head At Distance,1,0:23
7025,648,3100,4011,3100.0,3,F,Flyweight,M,Decision,Unanimous,3,5:00
7024,648,678,583,678.0,3,F,Women's Flyweight,F,Submission,"Other - Lock On Ground
      Z-Lock",1,1:45
7023,648,1434,30,30.0,3,F,Welterweight,M,Decision,Split,3,5:00
7022,648,824,1567,824.0,3,F,Bantamweight,M,Decision,Unanimous,3,5:00
7021,648,3942,1799,1799.0,3,F,Heavyweight,M,KO/TKO,Punch to Head At Distance,2,3:17
7020,648,3516,2900,3516.0,3,F,Bantamweight,M,Decision,Unanimous,3,5:00
7019,648,1573,1536,1536.0,3,F,Lightweight,M,KO/TKO,Punch to Head At Distance,2,2:59
7018,648,1085,2925,1085.0,3,F,Women's Strawweight,F,Decision,Unanimous,3,5:00
7017,648,3756,2136,3756.0,3,F,Bantamweight,M,KO/TKO,Punches to Head On Ground,2,3:54
7016,648,2005,2715,2005.0,3,F,Light Heavyweight,M,Decision,Unanimous,3,5:00
7015,647,3239,2552,3239.0,5,F,Women's Strawweight,F,Decision,Unanimous,5,5:00
7014,647,742,2575,2575.0,3,F,Middleweight,M,KO/TKO,Elbows to Head From Mount,3,1:01
7013,647,3159,2814,2814.0,3,F,Catch Weight,M,Decision,Unanimous,3,5:00
7012,647,3002,3635,3635.0,3,F,Welterweight,M,KO/TKO,Kick to Head At Distance,2,4:15
7011,647,3007,2364,3007.0,3,F,Lightweight,M,KO/TKO,Punch to Head At Distance,2,1:50
7009,647,2171,3245,2171.0,3,F,Women's Strawweight,F,Decision,Unanimous,3,5:00
7008,647,3385,314,314.0,3,F,Welterweight,M,KO/TKO,Kick to Body At Distance,2,2:55
7007,647,2105,1517,1517.0,3,F,Heavyweight,M,Decision,Split,3,5:00
7006,647,2511,2984,2511.0,3,F,Lightweight,M,Decision,Unanimous,3,5:00
7005,647,681,2050,681.0,3,F,Women's Flyweight,F,KO/TKO,Punch to Head At Distance,1,2:58
7004,647,807,2768,2768.0,3,F,Welterweight,M,Decision,Unanimous,3,5:00
7003,646,926,4018,4018.0,5,F,Heavyweight,M,Submission,Rear Naked Choke,1,3:43
7002,646,632,212,212.0,3,F,Light Heavyweight,M,Decision,Unanimous,3,5:00
7001,646,980,2865,2865.0,3,F,Welterweight,M,KO/TKO,Kick to Head At Distance,1,2:57
7000,646,323,1178,323.0,3,F,Light Heavyweight,M,KO/TKO,Punches to Head On Ground,1,2:09
6999,646,1752,1597,1597.0,3,F,Welterweight,M,Submission,Guillotine Choke From Bottom Guard,2,2:09
6998,646,3661,1773,3661.0,3,F,Welterweight,M,KO/TKO,Punch to Head At Distance,1,4:09
6997,646,124,731,124.0,3,F,Heavyweight,M,Decision,Unanimous,3,5:00
6996,646,559,672,672.0,3,F,Catch Weight,M,Decision,Unanimous,3,5:00
6995,646,2225,3736,3736.0,3,F,Women's Flyweight,F,Decision,Split,3,1:55
6994,646,3831,2726,3831.0,3,F,Welterweight,M,KO/TKO,Punch to Head At Distance,1,0:14
6993,646,3447,2003,2003.0,3,F,Women's Bantamweight,F,Submission,Rear Naked Choke,3,4:20
6992,645,541,3502,541.0,5,T,Bantamweight,M,Decision,Split,5,5:00
6991,645,1577,3616,1577.0,5,F,Welterweight,M,Decision,Unanimous,5,5:00
6990,645,3976,69,69.0,3,F,Women's Strawweight,F,KO/TKO,Punch to Head At Distance,1,2:20
6989,645,3046,1983,3046.0,3,F,Featherweight,M,Decision,Unanimous,3,5:00
6988,645,2743,2320,2320.0,3,F,Featherweight,M,Decision,Unanimous,3,5:00
6987,645,3200,2926,2926.0,3,F,Lightweight,M,KO/TKO,Punch to Head At Distance,1,4:08
6986,645,1432,3448,1432.0,3,F,Light Heavyweight,M,Submission,Guillotine Choke Standing,2,2:28
6985,645,125,3820,125.0,3,F,Welterweight,M,Decision,Split,3,5:00
6984,645,981,2410,2410.0,3,F,Women's Strawweight,F,Decision,Unanimous,3,5:00
6983,645,625,1179,1179.0,3,F,Heavyweight,M,KO/TKO,Punches to Head From Mount,1,2:10
6982,645,2618,4032,4032.0,3,F,Middleweight,M,KO/TKO,Punches to Head At Distance,1,2:10
6981,645,2527,1054,1054.0,3,F,Middleweight,M,KO/TKO,Punches to Head On Ground,2,3:21
6980,644,606,666,606.0,5,F,Bantamweight,M,KO/TKO,Punch to Head At Distance,5,1:10
6979,644,3719,1403,3719.0,3,F,Middleweight,M,Submission,Rear Naked Choke,2,2:49
6978,644,245,3646,245.0,3,F,Middleweight,M,Submission,Arm Triangle From Mount,2,1:28
6977,644,3073,1348,1348.0,3,F,Featherweight,M,KO/TKO,Punches to Head At Distance,1,1:41
6976,644,971,3390,971.0,3,F,Heavyweight,M,Decision,Unanimous,3,5:00
6975,644,1135,180,180.0,3,F,Welterweight,M,Decision,Unanimous,3,5:00
6974,644,3634,3421,3634.0,3,F,Heavyweight,M,Decision,Unanimous,3,5:00
6973,644,3140,2354,3140.0,3,F,Flyweight,M,Decision,Unanimous,3,5:00
6972,644,3112,4048,4048.0,3,F,Women's Bantamweight,F,Submission,Kneebar After Drop to Ground,1,2:11
6971,644,1488,1772,1772.0,3,F,Catch Weight,M,Submission,Rear Naked Choke,2,2:03
6970,644,3366,2502,2502.0,3,F,Women's Bantamweight,F,Decision,Unanimous,3,5:00
6969,643,1291,3752,1291.0,5,F,Heavyweight,M,KO/TKO,Punches to Head At Distance,1,3:08
6968,643,438,684,684.0,3,F,Middleweight,M,KO/TKO,Punch to Head At Distance,1,3:35
6967,643,1958,211,1958.0,3,F,Women's Flyweight,F,Decision,Unanimous,3,5:00
6966,643,161,760,161.0,3,F,Welterweight,M,Decision,Split,3,5:00
6965,643,2817,2846,2846.0,3,F,Lightweight,M,KO/TKO,Punch to Head At Distance,1,1:35
6964,643,80,2416,2416.0,3,F,Bantamweight,M,KO/TKO,Punch to Head At Distance,1,3:42
6963,643,948,3148,3148.0,3,F,Women's Featherweight,F,Decision,Unanimous,3,5:00
6962,643,309,470,309.0,3,F,Heavyweight,M,Decision,Unanimous,3,5:00
6961,643,1850,2794,2794.0,3,F,Featherweight,M,Decision,Split,3,5:00
6960,643,2559,3306,2559.0,3,F,Bantamweight,M,KO/TKO,Punches to Head On Ground,3,4:21
6959,642,2532,4028,2532.0,5,F,Featherweight,M,Decision,Unanimous,5,5:00
6958,642,3863,1139,3863.0,3,F,Featherweight,M,KO/TKO,Knee to Head At Distance,1,2:37
6957,642,2413,1548,1548.0,3,F,Light Heavyweight,M,Decision,Unanimous,3,5:00
6956,642,3716,3324,3324.0,3,F,Light Heavyweight,M,KO/TKO,Punches to Head On Ground,1,2:05
6955,642,1571,2685,1571.0,3,F,Bantamweight,M,Decision,Unanimous,3,5:00
6954,642,2702,2869,2869.0,3,F,Lightweight,M,Decision,Unanimous,3,5:00
6953,642,4037,3652,4037.0,3,F,Featherweight,M,Submission,Rear Naked Choke,2,1:40
6952,642,927,1478,927.0,3,F,Flyweight,M,KO/TKO,Knee to Head At Distance,1,2:09
6951,642,3337,2582,3337.0,3,F,Light Heavyweight,M,KO/TKO,Punches to Head At Distance,3,4:13
6950,642,1001,975,1001.0,3,F,Women's Strawweight,F,Submission,Armbar From Mount,2,4:21
6949,642,287,23,23.0,3,F,Lightweight,M,Decision,Unanimous,3,5:00
6948,642,3688,2806,2806.0,3,F,Women's Strawweight,F,KO/TKO,Punches to Head On Ground,2,2:42
6947,642,1216,3734,3734.0,3,F,Bantamweight,M,Decision,Unanimous,3,5:00
6946,642,3114,1153,3114.0,3,F,Women's Bantamweight,F,Decision,Split,3,5:00
6945,641,1256,4089,4089.0,5,T,Middleweight,M,KO/TKO,Punch to Head At Distance,2,4:21
6944,641,3616,1819,3616.0,3,F,Welterweight,M,Decision,Unanimous,3,5:00
6943,641,2961,65,2961.0,3,F,Bantamweight,M,KO/TKO,Punch to Head At Distance,1,2:57
6942,641,2534,1183,2534.0,3,F,Welterweight,M,KO/TKO,Punch to Head At Distance,3,3:16
6941,641,946,974,974.0,3,F,Bantamweight,M,Decision,Unanimous,3,5:00
6940,641,3325,2861,2861.0,3,F,Middleweight,M,Decision,Unanimous,3,5:00
6939,641,179,1195,1195.0,3,F,Women's Strawweight,F,Decision,Split,3,5:00
6938,641,1741,1144,1144.0,3,F,Middleweight,M,KO/TKO,Punches to Head On Ground,1,3:15
6937,641,3584,2814,2814.0,3,F,Women's Strawweight,F,Decision,Split,3,5:00
6936,641,3884,1415,3884.0,3,F,Catch Weight,M,Decision,Unanimous,3,5:00
6935,641,1442,2871,2871.0,3,F,Featherweight,M,KO/TKO,Punch to Body At Distance,2,0:36
6934,641,3988,2479,2479.0,3,F,Women's Strawweight,F,Decision,Unanimous,3,5:00
6933,640,263,857,857.0,5,F,Bantamweight,M,Decision,Split,5,5:00
6932,640,2529,828,2529.0,3,F,Women's Bantamweight,F,Decision,Unanimous,3,5:00
6931,640,2121,2007,2121.0,3,F,Featherweight,M,Submission,Rear Naked Choke,2,4:11
6930,640,2068,3866,3866.0,3,F,Women's Flyweight,F,Decision,Split,3,5:00
6929,640,1463,3142,3142.0,3,F,Middleweight,M,Decision,Split,3,5:00
6928,640,1198,1950,1198.0,3,F,Featherweight,M,Submission,Guillotine Choke After Drop to Half Guard,2,2:50
6927,640,1232,4042,4042.0,3,F,Featherweight,M,Decision,Unanimous,3,5:00
6926,640,2834,1308,2834.0,3,F,Welterweight,M,Decision,Split,3,5:00
